"produkt_id";"produkt_nazwa";"ilosc";"produkt_ean";"produkt_sku";"kategoria_nazwa";"cena";"stawka_vat";"waga";"opis";"opis_dodatkowy_1";"opis_dodatkowy_2";"opis_dodatkowy_3";"opis_dodatkowy_4";"zdjecie";"zdjecie_dodatkowe_1";"zdjecie_dodatkowe_2";"zdjecie_dodatkowe_3";"producent_nazwa"
"";"Spodnie taktyczne Softshell Czarne";"22";"5901234567002";"KD-SP-002";"Spodnie";"289";"23%";"0.72";"<p>Spodnie Softshell odporne na wiatr i wilgoć. Świetne na chłodniejsze dni w terenie.</p>";"";"";"";"";"https://cdn.baselinker.com/products/kd/sp-002-1.jpg";"";"";"";""
"";"Kurtka taktyczna Softshell Ranger Green";"15";"5901234567003";"KD-KU-001";"Kurtki i bluzy";"549";"23%";"0.95";"<p>Kurtka taktyczna Softshell w kolorze Ranger Green. Oddychający materiał 3-warstwowy, wodoodporność 10 000 mm H2O.</p>";"";"";"";"";"https://cdn.baselinker.com/products/kd/ku-001-1.jpg";"https://cdn.baselinker.com/products/kd/ku-001-2.jpg";"";"";""
"";"Bluza Combat Flecktarn";"30";"5901234567004";"KD-KU-002";"Kurtki i bluzy";"199";"23%";"0.5";"<p>Bluza bojowa w kamuflażu Flecktarn. Wzmocnione łokcie i naramienniki.</p>";"";"";"";"";"https://cdn.baselinker.com/products/kd/ku-002-1.jpg";"";"";"";""
"";"Kamizelka taktyczna JPC Coyote Brown";"8";"5901234567101";"KD-KT-001";"Kamizelki taktyczne i nośniki";"899";"23%";"1.8";"<p>Lekka kamizelka taktyczna Jumpable Plate Carrier w kolorze Coyote Brown. Kompatybilna z płytami balistycznymi SAPI M.</p>";"";"";"";"";"https://cdn.baselinker.com/products/kd/kt-001-1.jpg";"https://cdn.baselinker.com/products/kd/kt-001-2.jpg";"";"";""
"";"Plecak taktyczny 40L Multicam";"18";"5901234567102";"KD-PL-001";"Plecaki i torby";"449";"23%";"1.4";"<p>Taktyczny plecak 40 litrów w kamuflażu Multicam. System nośny MOLLE, wydzielona kieszeń na mapę i system hydratacji.</p>";"";"";"";"";"https://cdn.baselinker.com/products/kd/pl-001-1.jpg";"";"";"";""
"";"Plecak assault 25L Black";"24";"5901234567103";"KD-PL-002";"Plecaki i torby";"299";"23%";"0.85";"<p>Kompaktowy plecak szturmowy 25L. Idealny jako plecak dzienny lub do ćwiczeń. System MOLLE po bokach.</p>";"";"";"";"";"https://cdn.baselinker.com/products/kd/pl-002-1.jpg";"";"";"";""
"";"Pas taktyczny rigger 1.75"" Czarny";"55";"5901234567104";"KD-PS-001";"Pasy i szelki";"89";"23%";"0.25";"<p>Wytrzymały pas taktyczny Rigger 1.75 cala. Klamra kompozytowa, regulacja bez ograniczeń.</p>";"";"";"";"";"https://cdn.baselinker.com/products/kd/ps-001-1.jpg";"";"";"";""
"";"Rękawice taktyczne Mechanix M-Pact Black L";"38";"5901234567201";"KD-RK-001";"Rękawice taktyczne";"149";"23%";"0.18";"<p>Rękawice taktyczne Mechanix M-Pact z wkładkami EVA na dłoni, rozmiar L. Ochrona przed uderzeniami i odpryski.</p>";"";"";"";"";"https://cdn.baselinker.com/products/kd/rk-001-1.jpg";"";"";"";""
"";"Gogle balistyczne ESS Crossbow Smoke";"12";"5901234567202";"KD-OG-001";"Okulary i gogle balistyczne";"279";"23%";"0.12";"<p>Gogle balistyczne ESS Crossbow z soczewką dymną. Certyfikat ANSI Z87.1. Ochrona UV400.</p>";"";"";"";"";"https://cdn.baselinker.com/products/kd/og-001-1.jpg";"";"";"";""
"";"Latarka taktyczna SureFire G2X Pro";"20";"5901234567301";"KD-LT-001";"Latarki taktyczne";"399";"23%";"0.16";"<p>Latarka taktyczna SureFire G2X Pro. 600 lumenów, zasilanie 2x CR123A, odporność IPX7.</p>";"";"";"";"";"https://cdn.baselinker.com/products/kd/lt-001-1.jpg";"";"";"";""
"";"Lornetka taktyczna 10x42 HD";"6";"5901234567302";"KD-LB-001";"Lunety i lornetki";"799";"23%";"0.78";"<p>Lornetka 10x42 z powłoką antyrefleksyjną, wodoszczelna IPX7. Idealna do obserwacji w każdych warunkach.</p>";"";"";"";"";"https://cdn.baselinker.com/products/kd/lb-001-1.jpg";"";"";"";""
"";"Nóż taktyczny Gerber StrongArm Fixed Blade";"25";"5901234567401";"KD-NT-001";"Noże taktyczne";"349";"23%";"0.3";"<p>Nóż taktyczny Gerber StrongArm z głownią ze stali 420HC. Powłoka DLC, rękojeść z TPE. Dołączona pochwa MOLLE.</p>";"";"";"";"";"https://cdn.baselinker.com/products/kd/nt-001-1.jpg";"";"";"";""
"";"Multitool Leatherman Wave+ Black";"14";"5901234567402";"KD-MT-001";"Multitool i scyzoryki";"499";"23%";"0.27";"<p>Leatherman Wave+ w czarnej wersji. 18 narzędzi ze stali nierdzewnej 420HC, wszystkie dostępne w trybie otwartym i zamkniętym.</p>";"";"";"";"";"https://cdn.baselinker.com/products/kd/mt-001-1.jpg";"";"";"";""
"";"Kaburka udowa pistolet Glock 17/19 Czarna";"16";"5901234567501";"KD-AK-001";"Kabury i uchwyty";"249";"23%";"0.35";"<p>Kaburka udowa do Glockа 17/19. Regulowane paski udowe, zamek poziomowy.</p>";"";"";"";"";"https://cdn.baselinker.com/products/kd/ak-001-1.jpg";"";"";"";""
"";"Zestaw do czyszczenia broni 9mm";"42";"5901234567502";"KD-AK-002";"Pielęgnacja broni";"89";"23%";"0.4";"<p>Kompletny zestaw do czyszczenia pistoletów 9mm. Wyciory mosiężne, pędzle, smar CLP, ścierki flanel.</p>";"";"";"";"";"https://cdn.baselinker.com/products/kd/ak-002-1.jpg";"";"";"";""
"";"Apteczka IFAK powypadkowa Coyote";"33";"5901234567601";"KD-AP-001";"Apteczki polowe";"199";"23%";"0.55";"<p>Indywidualna apteczka IFAK (Individual First Aid Kit) w kolorze Coyote. Zawiera opaskę CAT, opatrunek izraelski, rękawice, bandaż elastyczny i nożyczki taktyczne.</p>";"";"";"";"";"https://cdn.baselinker.com/products/kd/ap-001-1.jpg";"";"";"";""
"";"Opaska uciskowa CAT Combat Application Tourniquet";"67";"5901234567602";"KD-TQ-001";"Opaski uciskowe i hemostatyki";"129";"23%";"0.08";"<p>Oryginalna opaska uciskowa CAT Gen 7. Standard NATO / US Army. Zastosowanie jedną ręką. Certyfikat FDA.</p>";"";"";"";"";"https://cdn.baselinker.com/products/kd/tq-001-1.jpg";"";"";"";""
"";"Buty taktyczne Haix Black Eagle Athletic 10 Low";"28";"5901234567701";"KD-BT-001";"Buty taktyczne";"649";"23%";"0.9";"<p>Lekkie buty taktyczne Haix Black Eagle Athletic 10 Low. Membrana Gore-Tex Extended Comfort, podeszwa antyelektrostatyczna.</p>";"";"";"";"";"https://cdn.baselinker.com/products/kd/bt-001-1.jpg";"";"";"";""
"";"Naszywka flaga PL IR Multicam";"120";"5901234567801";"KD-AM-001";"Flagi i emblematy";"29";"23%";"0.02";"<p>Naszywka z flagą Polski w wersji IR (podczerwień) na tle Multicam. Widoczna w noktowizji, niewidoczna w świetle dziennym. Mocowanie na rzep.</p>";"";"";"";"";"https://cdn.baselinker.com/products/kd/am-001-1.jpg";"";"";"";""
"";"Spodnie taktyczne Ripstop Multicam";"45";"5901234567001";"KD-SP-001";"Spodnie";"349";"23%";"0.65";"<p>Profesjonalne spodnie taktyczne wykonane z tkaniny Ripstop w kamuflażu Multicam. Idealne do służby i szkoleń w terenie.</p><ul><li>Tkanina: 65% poliester, 35% bawełna Ripstop</li><li>Wzmocnienia na kolanach z kieszeniami na wkładki</li><li>6 kieszeni z zamknięciami na rzep i zatrzaski</li><li>Regulacja obwodu pasa</li></ul>";"";"";"";"";"https://cdn.baselinker.com/products/kd/sp-001-1.jpg";"https://cdn.baselinker.com/products/kd/sp-001-2.jpg";"";"";""
"";"a";"0";"";"";"";"0";"23%";"0";"";"";"";"";"";"";"";"";"";""